generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
1,23.67,4.585,4.13,-5.88,117,13.5,3,0,1.17,54.0,-31.5,0.0,0.0
2,45.21,7.1726,5.155,-1.96,71,15.0,3,4,0.71,48.0,-11.5,8.0,0.0
3,25.27,6.8836,6.27,-2.45,58,16.0,3,2,0.27,23.0,-2.0,4.0,0.0
4,50.44,8.707,4.405,-2.36,142,15.5,3,4,0.94,59.0,-17.5,8.0,0.0
5,80.78,12.4096,9.73,-2.45,128,21.0,3,5,1.28,89.0,-19.5,10.0,0.0
6,176.03,18.1796,8.98,-1.96,603,19.0,3,7,6.03,305.0,-149.0,14.0,0.0
7,162.81,28.6684,14.865,-1.47,519,33.5,3,10,4.31,236.0,-97.5,20.0,0.0
8,229.09,28.4268,11.265,-1.87,809,26.5,3,9,8.09,405.0,-202.0,18.0,0.0
9,179.74,28.9674,14.795,-1.47,624,48.5,3,11,6.24,309.0,-157.5,22.0,0.0
10,218.18,29.175,13.58,-1.47,768,45.0,3,10,7.68,383.0,-192.5,20.0,0.0
11,210.52,35.3744,17.645,-1.47,702,47.5,3,11,7.02,355.0,-173.5,22.0,0.0
12,175.39,34.0066,15.92,-0.4,739,44.5,5,4,7.39,353.0,-193.0,8.0,0.0
13,197.94,37.9544,29.735,0.58,794,98.0,8,4,7.94,386.0,-204.0,8.0,0.0
14,218.17,38.0252,22.92,0.09,767,61.0,9,9,7.67,384.0,-191.5,18.0,0.0
15,171.06,38.7698,16.015,-2.42,592,45.5,6,7,5.06,270.0,-118.0,14.0,0.0
16,333.92,51.3766,14.76,-1.47,992,45.5,3,20,9.92,520.0,-236.0,40.0,0.0
17,282.98,49.0492,24.655,0.15,948,71.5,5,10,9.48,485.0,-231.5,20.0,0.0
18,308.74,46.8366,24.53,0.15,1174,78.0,10,10,11.74,576.0,-299.0,20.0,0.0
19,277.4,53.2912,40.675,1.59,840,126.5,9,16,8.4,438.0,-201.0,32.0,0.0
20,348.7,50.2764,24.945,3.15,1020,71.5,3,20,10.2,539.0,-240.5,40.0,0.0
21,160.25,45.5336,32.215,0.15,518,111.0,9,9,4.75,250.0,-112.5,18.0,0.0
22,370.1,59.3076,31.525,2.66,1010,98.0,10,17,10.1,554.0,-228.0,34.0,0.0
23,666.73,60.6054,22.825,-0.95,2073,66.0,5,35,20.73,1075.0,-499.0,70.0,0.0
24,296.25,49.9624,21.98,-1.9,875,58.0,9,16,8.75,462.0,-206.5,32.0,0.0
25,329.7,72.2908,37.315,1.59,1170,92.5,9,15,11.7,582.0,-294.0,30.0,0.0
26,270.15,69.3862,49.425,1.65,915,143.0,9,12,9.15,463.0,-226.0,24.0,0.0
27,406.42,70.8824,40.28,-0.43,1292,135.0,3,15,12.92,673.0,-309.5,30.0,0.0
28,328.38,76.0324,32.825,3.21,988,98.0,3,8,9.88,531.0,-228.5,16.0,0.0
29,518.37,87.378,47.22,1.59,1707,156.0,9,13,14.87,814.0,-336.5,26.0,0.0
30,402.68,80.523,46.135,0.09,1218,163.5,3,10,12.18,653.0,-282.5,20.0,0.0
31,495.2,71.3508,40.5,1.65,1670,144.0,7,17,16.7,853.0,-408.5,34.0,0.0
32,501.8,64.9122,24.805,0.21,1530,99.5,3,13,15.3,817.0,-356.5,26.0,0.0
33,972.08,82.2858,24.87,3.27,2808,86.0,3,22,28.08,1536.0,-636.0,44.0,0.0
34,623.59,103.3708,30.51,-0.43,1809,129.0,3,20,18.09,980.0,-414.5,40.0,0.0
35,682.66,103.371,59.19,1.65,2166,164.0,5,14,21.66,1144.0,-511.0,28.0,0.0
36,438.31,67.615,25.715,1.65,1231,93.0,6,19,12.31,669.0,-281.0,38.0,0.0
37,612.93,92.4936,38.58,-0.22,1705,103.5,3,28,16.43,908.0,-367.5,56.0,0.0
38,367.48,100.1758,61.65,0.15,1098,216.0,12,11,10.98,589.0,-254.5,22.0,0.0
39,590.26,146.8074,103.685,5.03,1751,347.5,3,19,17.26,932.0,-397.0,38.0,0.0
40,697.76,141.1698,81.485,5.03,2076,251.5,3,16,20.76,1122.0,-477.0,32.0,0.0
41,725.95,122.4566,79.73,-3.92,2245,240.5,8,10,22.45,1204.0,-520.5,20.0,0.0
42,689.66,125.0414,69.665,2.84,2066,231.5,3,20,20.66,1108.0,-479.0,40.0,0.0
43,759.57,146.8682,72.215,2.58,2257,201.5,3,14,22.57,1225.0,-516.0,28.0,0.0
44,1177.72,179.3456,91.955,1.65,3622,287.5,3,31,36.22,1927.0,-847.5,62.0,0.0
45,727.26,143.0366,108.865,3.15,2276,376.5,11,22,22.76,1199.0,-538.5,44.0,0.0
46,1120.5,119.9794,66.94,2.08,3500,229.0,3,31,35.0,1849.0,-825.5,62.0,0.0
47,894.5,124.527,60.705,-2.42,2800,186.0,3,15,28.0,1491.0,-654.5,30.0,0.0
48,531.94,130.3006,75.115,3.53,1644,250.0,3,11,16.44,877.0,-383.5,22.0,0.0
49,771.87,144.5378,95.65,1.65,2287,290.5,3,23,22.87,1231.0,-528.0,46.0,0.0
50,1077.18,155.6604,86.685,4.08,3418,268.5,8,26,34.18,1800.0,-809.0,52.0,0.0
51,1133.88,132.6324,47.15,3.53,3438,159.5,3,27,34.38,1843.0,-797.5,54.0,0.0
52,538.66,136.8626,112.73,3.15,1585,364.0,6,11,15.66,856.0,-355.0,22.0,0.0
53,1123.02,200.114,108.99,7.34,3602,307.5,18,22,36.02,1896.0,-853.0,44.0,0.0
54,1085.37,255.0396,167.41,3.09,3287,491.0,9,22,32.87,1768.0,-759.5,44.0,0.0
55,1126.96,196.5066,149.54,3.21,3546,471.5,16,32,35.46,1867.0,-839.5,64.0,0.0
56,826.02,173.3048,137.94,4.65,2502,444.0,15,21,25.02,1340.0,-581.0,42.0,0.0
57,1182.4,159.8802,57.68,0.09,3740,193.0,3,30,37.4,1970.0,-885.0,60.0,0.0
58,1033.58,244.4224,125.43,0.26,3258,405.0,16,22,32.58,1724.0,-767.0,44.0,0.0
59,1134.06,257.062,209.825,7.14,3606,729.0,14,24,36.06,1902.0,-852.0,48.0,0.0
60,596.07,172.0814,127.625,3.79,1857,422.0,9,15,18.57,984.0,-436.5,30.0,0.0
61,1025.9,184.178,126.215,4.59,3040,400.0,9,21,30.4,1649.0,-695.5,42.0,0.0
62,810.15,192.0794,142.425,1.59,2515,434.5,9,23,25.15,1331.0,-592.0,46.0,0.0
63,918.43,183.0144,80.53,2.72,2893,244.5,9,22,28.93,1528.0,-682.5,44.0,0.0
64,941.43,172.8032,91.705,8.96,2893,317.5,22,23,28.93,1542.0,-675.5,46.0,0.0
65,694.27,196.3334,132.175,3.16,2227,392.5,15,22,22.27,1161.0,-533.0,44.0,0.0
66,797.33,200.3736,166.32,1.77,2433,489.0,27,25,24.33,1293.0,-570.0,50.0,0.0
67,599.76,148.2414,113.41,2.66,1776,391.0,16,18,17.76,956.0,-410.0,36.0,0.0
68,633.37,131.056,77.14,8.23,1837,235.0,23,25,18.37,989.0,-424.0,50.0,0.0
69,1063.38,183.7784,102.795,6.33,3238,314.5,15,20,32.38,1740.0,-749.0,40.0,0.0
70,673.73,165.5884,87.01,-0.28,1923,285.5,9,22,19.23,1048.0,-437.5,44.0,0.0
71,1582.0,217.6818,137.64,7.71,5000,439.0,14,39,50.0,2636.0,-1182.0,78.0,0.0
72,725.83,117.15,66.07,4.65,2333,190.5,15,15,23.33,1226.0,-553.5,30.0,0.0
73,909.91,198.2988,154.62,1.28,2691,487.0,9,17,26.91,1463.0,-614.0,34.0,0.0
74,705.16,183.7426,138.87,4.17,2144,437.0,16,19,21.16,1136.0,-490.0,38.0,0.0
75,1105.34,235.5392,123.84,5.84,3384,389.5,33,25,33.84,1809.0,-787.5,50.0,0.0
76,622.82,180.3468,141.965,3.09,1732,462.5,9,15,17.32,961.0,-385.5,30.0,0.0
77,1007.03,211.0794,131.27,4.65,2903,404.0,15,26,29.03,1585.0,-659.0,52.0,0.0
78,876.46,166.7648,95.435,4.65,2646,312.5,3,20,26.46,1422.0,-612.0,40.0,0.0
79,911.53,155.4254,106.19,1.59,2853,324.5,9,20,28.53,1513.0,-670.0,40.0,0.0
80,1157.91,162.7382,71.095,3.21,3441,240.5,17,36,34.41,1848.0,-796.5,72.0,0.0
81,1051.0,234.3714,170.685,3.15,3200,533.0,15,27,32.0,1710.0,-745.0,54.0,0.0
82,813.94,193.7664,112.375,0.09,2494,340.5,9,22,24.94,1328.0,-583.0,44.0,0.0
83,1302.33,205.4256,90.98,4.83,3983,294.0,31,28,39.83,2132.0,-925.5,56.0,0.0
84,1685.0,239.2444,168.94,6.15,5000,519.0,15,47,50.0,2694.0,-1153.0,94.0,0.0
85,1146.69,236.531,114.88,3.15,3519,370.0,15,24,35.19,1882.0,-818.5,48.0,0.0
86,1301.85,209.7104,120.395,4.71,3885,390.5,21,36,38.85,2089.0,-898.0,72.0,0.0
87,597.77,158.541,96.81,2.6,1827,279.0,10,19,18.27,970.0,-428.5,38.0,0.0
88,835.89,192.7958,127.96,3.09,2666,357.5,9,19,26.39,1394.0,-622.5,38.0,0.0
89,738.46,160.5138,72.29,-1.29,2146,241.5,16,19,21.46,1168.0,-489.0,38.0,0.0
90,581.04,133.6944,101.035,4.16,1754,303.5,16,13,17.54,943.0,-405.5,26.0,0.0
91,759.62,121.7324,50.905,3.09,2262,183.5,9,22,22.62,1216.0,-523.0,44.0,0.0
92,732.74,207.244,137.595,6.21,2324,441.5,21,14,23.24,1229.0,-547.5,28.0,0.0
93,1665.0,231.77,117.575,1.59,5000,377.0,9,49,50.0,2678.0,-1161.0,98.0,0.0
94,1501.33,179.014,103.28,2.21,4383,328.0,15,38,43.83,2382.0,-1000.5,76.0,0.0
95,645.67,157.9428,95.02,7.77,1917,300.5,27,14,19.17,1038.0,-439.5,28.0,0.0
96,901.65,206.3712,145.435,4.34,2765,443.5,26,28,27.65,1467.0,-649.0,56.0,0.0
97,819.36,196.9988,116.43,5.07,2536,359.0,21,20,25.36,1348.0,-594.0,40.0,0.0
98,864.76,165.4712,120.03,4.71,2676,349.5,21,29,26.76,1412.0,-632.0,58.0,0.0
99,1684.5,189.6154,77.825,5.84,5000,246.0,23,43,50.0,2699.0,-1150.5,86.0,0.0
100,827.19,228.1404,174.965,1.22,2640,508.5,9,18,24.69,1334.0,-567.5,36.0,0.0
